iter	Passed	Remaining
466466	1219	13467467	1223	13468468	1225	13469469	1227	13470470	1229	13471471	1231	13472472	1234	13473473	1259	13474474	1239	13475475	1263	13476476	1266	13477477	1268	13478478	1270	13479479	1273	13480480	1275	13481	1261	1355
482	1263	1352
483	1266	1350
484	1268	1347
485	1271	1344
486	1273	1341
487	1276	1338
488	1278	1335
489	1280	1332
490	1283	1330
491	1285	1327
492	1287	1324
493	1289	1321
494	1291	1317
495	1293	1314
496	1296	1311
497	1298	1309
498	1301	1306
499	1303	1303
500	1305	1300
501	1307	1297
502	1310	1294
503	1312	1291
504	1314	1288
505	1316	1285
506	1319	1282
507	1321	1279
508	1323	1276
509	1326	1274
510	1328	1271
511	1331	1268
512	1333	1265
513	1335	1262
514	1338	1260
515	1340	1257
516	1342	1254
517517	1340	12518518	1342	12519519	1345	12520520	1348	12521	1354	1240
522	1356	1237
523	1358	1234
524	1360	1231
525	1362	1228
526	1366	1226
527	1368	1223
528	1371	1220
529	1373	1217
530	1375	1214
531	1377	1211
532	1380	1209
533	1382	1206
534	1384	1203
535	1387	1201
536	1390	1198
537	1392	1195
538	1394	1192
539	1397	1190
540	1399	1187
541	1401	1184
542	1404	1181
543	1407	1179
544	1409	1176
545	1412	1174
546	1414	1171
547	1416	1168
548	1419	1166
549	1422	1163
550	1424	1161
551	1427	1158
552	1429	1155
553	1432	1153
554	1434	1150
555	1437	1147
556	1439	1144
557	1441	1141
558	1443	1138
559	1446	1136
560	1448	1133
561	1450	1130
562	1452	1127
563	1455	1124
564	1458	1122
565	1460	1120
566	1463	1117
567	1465	1114
568	1467	1111
569	1470	1109
570	1472	1106
571	1474	1103
572	1476	1100
573	1478	1097
574	1481	1095
575	1484	1092
576	1486	1089
577	1488	1086
578	1490	1084
579	1493	1081
580	1495	1078
581	1498	1076
582	1500	1073
583	1502	1070
584	1505	1067
585	1507	1065
586	1510	1062
587	1513	1060
588	1515	1057
589	1517	1054
590	1519	1051
591	1522	1049
592	1524	1046
593	1526	1043
594	1529	1041
595	1531	1038
596	1533	1035
597	1536	1033
598	1539	1030
599	1542	1028
600	1545	1025
601	1547	1023
602	1549	1020
603	1552	1017
604	1554	1014
605	1556	1012
606	1558	1009
607	1561	1006
608	1563	1003
609	1565	1000
610	1567	998
611	1570	995
612	1572	992
613	1575	990
614	1577	987
615	1579	984
616	1582	982
617	1584	979
618	1587	977
619	1589	974
620	1591	971
621	1594	969
622	1596	966
623	1599	963
624	1601	960
625	1603	957
626	1605	955
627	1608	952
628	1611	950
629	1614	948
630	1616	945
631	1619	943
632	1621	940
633	1624	937
634	1627	935
635	1629	932
636	1631	929
637	1634	927
638	1636	924
639	1639	922
640	1641	919
641	1644	916
642	1646	914
643	1648	911
644	1651	908
645	1654	906
646	1656	903
647	1658	901
648	1661	898
649	1663	895
650	1666	893
651	1668	890
652	1670	887
653	1673	885
654	1675	882
655	1677	879
656	1679	876
657	1682	874
658	1684	871
659	1686	869
660	1689	866
661	1691	863
662	1694	861
663	1696	858
664	1698	855
665	1700	852
666	1703	850
667	1705	847
668	1707	844
669	1710	842
670	1712	839
671	1714	836
672	1716	833
673	1718	831
674	1721	828
675	1723	826
676	1726	823
677	1728	820
678	1730	818
679	1733	815
680	1736	813
681	1738	810
682	1740	807
683	1742	805
684	1745	802
685	1747	799
686	1755	800
687	1759	798
688	1762	795
689	1766	793
690	1769	791
691	1770	788
692	1773	785
693	1775	782
694	1777	780
695	1780	777
696	1782	774
697	1784	772
698	1786	769
699	1788	766
700	1791	764
701	1794	761
702	1796	758
703	1798	756
704	1800	753
705	1803	750
706	1805	748
707	1808	745
708	1810	743
709	1812	740
710	1815	737
711	1817	735
712	1820	732
713	1822	729
714	1825	727
715	1827	724
716	1829	722
717	1831	719
718	1833	716
719	1836	714
720	1838	711
721	1840	708
722	1842	706
723	1845	703
724	1847	700
725	1850	698
726	1853	695
727	1855	693
728	1857	690
729	1859	687
730	1862	685
731	1865	682
732	1867	680
733	1869	677
734	1871	674
735	1873	672
736	1876	669
737	1879	667
738	1881	664
739	1883	661
740	1885	659
741	1888	656
742	1890	654
743	1893	651
744	1896	648
745	1898	646
746	1900	643
747	1903	641
748	1905	638
749	1907	635
750	1910	633
751	1912	630
752	1914	628
753	1917	625
754	1919	622
755	1921	620
756	1924	617
757	1926	615
758	1929	612
759	1931	609
760	1933	607
761	1936	604
762	1939	602
763	1941	599
764	1944	597
765	1946	594
766	1949	592
767	1952	589
768	1954	587
769	1957	584
770	1959	582
771	1962	579
772	1965	577
773	1967	574
774	1970	572
775	1973	569
776	1976	567
777	1978	564
778	1980	561
779	1982	559
780	1985	556
781	1988	554
782	1990	551
783	1992	549
784	1995	546
785	1997	543
786	1999	541
787	2002	538
788	2004	536
789	2007	533
790	2009	530
791	2011	528
792	2013	525
793	2015	523
794	2018	520
795	2020	517
796	2022	515
797	2025	512
798	2027	509
799	2029	507
800	2031	504
801	2033	502
802	2036	499
803	2038	496
804	2040	494
805	2042	491
806	2044	489
807	2047	486
808	2049	483
809	2051	481
810	2053	478
811	2056	476
812	2058	473
813	2060	470
814	2062	468
815	2065	465
816	2068	463
817	2070	460
818	2073	458
819	2075	455
820	2078	453
821	2080	450
822	2083	448
823	2085	445
824	2081	441
825	2084	439
826	2093	437
827	2089	434
828	2093	431
829	2101	430
830	2104	427
831	2101	424
832	2103	421
833	2107	419
834	2109	416
835	2111	414
836	2113	411
837	2115	409
838	2118	406
839	2120	403
840	2122	401
841	2125	398
842	2128	396
843	2131	393
844	2133	391
845	2136	388
846	2138	386
847	2141	383
848	2144	381
849	2146	378
850	2148	376
851	2151	373
852	2153	371
853	2156	368
854	2159	366
855	2161	363
856	2163	360
857	2165	358
858	2167	355
859	2170	353
860	2172	350
861	2174	348
862	2177	345
863	2179	343
864	2181	340
865	2184	338
866	2187	335
867	2190	333
868	2192	330
869	2194	327
870	2197	325
871	2200	322
872	2202	320
873	2205	317
874	2207	315
875	2209	312
876	2212	310
877	2215	307
878	2219	305
879	2223	303
880	22880	225881	2230	298
882	2234	296
883	2237	293
884	2240	291
885	2244	288
886	2246	286
887	2249	283
888	2251	281
889	2254	278
890	2257	276
891	2259	273
892	2261	270
893	2263	268
894	2266	265
895	2269	263
896	2271	260
897	2274	258
898	2276	255
899	22899	229900	22900	229901	22901	230902	22902	230903	22903	2306	244
904	2308	242
905	2311	239
906	2313	237
907	2316	234
908	2318	232
909	2320	229
910	2323	226
911	2326	224
912	2328	221
913	2331	219
914	2333	216
915	2335	214
916	2338	211
917	2340	209
918	2342	206
919	2345	203
920	2348	201
921	2350	198
922	2354	196
923	2356	193
924	2359	191
925	2361	188
926	2363	186
927	2365	183
928	2367	180
929	236930	23930	237931	23931	237932	23932	237933	23933	237934	23934	238935	23935	238936	23936	238937	23937	238938	23938	239939	23939	239940	23940	2397	150
941	2399	147
942	240943	23943	2404	142
944	2407	140
945	2410	137
946	2412	135
947	2415	132
948	2417	129
949	2420	127
950	2422	124
951	2425	122
952	2427	119
953	2430	117
954	2433	114
955	2436	112
956	2438	109
957	2441	107
958	2443	104
959	2446	101
960	2449	99
961	2451	96
962	2454	94
963	2455	91
964	2458	89
965	2460	86
966	24967	24967	24968	24968	24969	24969	24970	24970	24971	24971	24972	24972	24973	24973	24974	24974	24975	24975	24976	24976	24977	24977	24978	24978	24979	24979	24980	24980	24981	24981	24982	24982	25983	24983	25984	24984	25985	24985	2511	35
986	25987	25987	25988	25988	25989	25989	25990	25990	25991	25991	25992	2515	17
993	2517	15
994	2519	12
995	25995	25996	25996	2997	25997	2998	25998	2999	25999	2561	0
