iter	Logloss
0	0.674151329911	0.6561347602	2	0.6388753633	3	0.6222256084	4	0.6073960705	0.5905718268
66	0.579206841277	0.5657389199
8	0.5524806492
9	0.5401433295110	0.5284020111
11	0.5180066251
12	0.5077053242
13	0.4972385977
14	0.4892843281
15	0.4806092675
16	0.4734773851
17	0.4655512637
18	0.4585395928
19	0.451146420	0.4437003531
21	0.4382682631
22	0.4319222922
23	0.426754886
24	0.4214727565
25	0.4150153365
26	0.4106120696
27	0.4050765474
28	0.4007593023
29	0.3962686183
30	0.3924414176
31	0.3881120906
32	0.3838513367
33	0.380055278
34	0.3766487634
35	0.3731826675
36	0.3697250472
37	0.366086793
38	0.3626951882
39	0.3601574891
40	0.3571289792
41	0.3548973277
42	0.352551536
43	0.3502872127
44	0.3477240548
45	0.3450401237
46	0.3431760533
47	0.3411698642
48	0.3389672821
49	0.3373390174
50	0.3357526883
51	0.3335727343
52	0.3315013652
53	0.3295645518
54	0.3278653038
55	0.3263824278
56	0.3250209503
57	0.3235452496
58	0.3222450578
59	0.3210311289
60	0.3197521708
61	0.3185074264662	0.3171187688663	0.3161123896464	0.3145403886565	0.3132135257
66	0.3119343415
67	0.3111699747
68	0.3099835284
69	0.3089163345
70	0.3079226063
71	0.3070605001
72	0.3060365365
73	0.3053462291
74	0.30444366
75	0.3034718723
76	0.302341097
77	0.3016100388
78	0.3009752732
79	0.300286922
80	0.2994748567
81	0.2987884077
82	0.2979337167
83	0.297220447
84	0.2965740725
85	0.2960732728
86	0.2957248841
87	0.2951440684
88	0.294672509
89	0.2940295151
90	0.2935416688
91	0.2931190087
92	0.2924925107
93	0.2919016875
94	0.291336442
95	0.2908283538
96	0.2902582837
97	0.2897879237
98	0.2892976663
99	0.2889089191
100	0.288344543
101	0.2879074022
102	0.2875870518
103	0.2870956562
104	0.2867207687
105	0.2863054089
106	0.2860265586
107	0.2856951007
108	0.2852929968
109	0.2847776245
110	0.2843557034
111	0.284088938
112	0.2837623948
113	0.2834608085
114	0.2830292675
115	0.2826720341
116	0.2823467908
117	0.2820084431
118	0.2816982502
119	0.2814227921
120	0.2810184958
121	0.2808833721
122	0.2805802661
123	0.2804505434
124	0.2802021174
125	0.2798627634
126	0.2795651226
127	0.2792029045
128	0.2789051626
129	0.278732454
130	0.2784781772
131	0.278282111
132	0.2779858476
133	0.2777936607
134	0.277567457
135	0.277315986
136	0.2770395173
137	0.2768911594
138	0.2766407838
139	0.2763895362
140	0.2762074454
141	0.2759185356
142	0.2756980307
143	0.2754939868
144	0.2754046171
145	0.2751993049
146	0.275034811
147	0.2748051976
148	0.2746110621
149	0.274377959
150	0.2742652623
151	0.2739909664
152	0.2738742968
153	0.2736483726
154	0.2735602248
155	0.2734051867
156	0.2731880638
157	0.2729396382
158	0.2727669206
159	0.272620282
160	0.2723759205
161	0.2722054615
162	0.2721004425
163	0.2718995987
164	0.2717012096
165	0.2714819477
166	0.2712902685
167	0.2709989478
168	0.2708083895
169	0.2705885532
170	0.2704725399
171	0.2703684627
172	0.2701068822
173	0.2699873479
174	0.2698307348
175	0.2697162436
176	0.2695882621
177	0.269392218
178	0.2691867532
179	0.2690067097
180	0.2687606544
181	0.2686225521
182	0.2684811538
183	0.2683436843
184	0.2682381521
185	0.268060345
186	0.2678904183
187	0.2677839436
188	0.2676608868
189	0.2675314533
190	0.2674069943
191	0.2673041999
192	0.2671244253
193	0.2669959762
194	0.2668120528
195	0.2667403782
196	0.2665863455
197	0.2664215779
198	0.2663087837
199	0.2660589948
200	0.2659238832
201	0.2658464593
202	0.2656397871
203	0.2655134226
204	0.2653578163
205	0.2652523358
206	0.2651344944
207	0.2650705865
208	0.2649348413
209	0.2648103868
210	0.2647113805
211	0.2645671997
212	0.2645533853
213	0.2644863751
214	0.2643505043
215	0.2641727398
216	0.2640802805
217	0.2639780154
218	0.2638884406
219	0.2637504488
220	0.2636337237
221	0.2635776729
222	0.2634924085
223	0.2633451413
224	0.2632645699
225	0.2631686934
226	0.2630549868
227	0.2629342652
228	0.2628590979
229	0.2627140313
230	0.2626724979
231	0.2625270101
232	0.262349458
233	0.262238534
234	0.2621568749
235	0.2620664158
236	0.2619818903
237	0.2619447006
238	0.2618690975
239	0.261732119
240	0.2615694547
241	0.2614981796
242	0.2614368252
243	0.2613246776
244	0.2612533433
245	0.2611578397
246	0.2610555309
247	0.2609447756
248	0.260872782
249	0.2607701673
250	0.2606873969
251	0.2605826432
252	0.2604195368
253	0.2602995132
254	0.2602175899
255	0.2601636664
256	0.2600763174
257	0.2600085851
258	0.2599438484
259	0.2598702435
260	0.2597891048
261	0.259713824
262	0.2595636509
263	0.2594331475
264	0.2593415254
265	0.2592420378
266	0.2591263589
267	0.2590150108
268	0.2588761899
269	0.2588446821
270	0.2587344453
271	0.2586387822
272	0.2585453937
273	0.2584434565
274	0.2583773275
275	0.258270709
276	0.2582100752
277	0.2580821818
278	0.257884355
279	0.2578111322
280	0.2577347194
281	0.2576024694
282	0.257535625
283	0.2574597796
284	0.2573712621
285	0.2573210726
286	0.2572026373
287	0.2570930853
288	0.2570268358
289	0.2569663005
290	0.2568753457
291	0.2567755875
292	0.2566898527
293	0.2566176217
294	0.2565584971
295	0.2565010931
296	0.2564388679
297	0.2563525989
298	0.2562245497
299	0.2561546658
300	0.2561119156
301	0.2559873368
302	0.2558479743
303	0.2557920084
304	0.2556863416
305	0.2556247851
306	0.2555052587
307	0.2554177244
308	0.2552834238
309	0.2551981834
310	0.2551095172
311	0.255071521
312	0.2550438769
313	0.2549822099
314	0.2549261253
315	0.2548190383
316	0.2547564562
317	0.2546398592
318	0.2545588797
319	0.2545056015
320	0.2544334702
321	0.2543189912
322	0.2542777055
323	0.254210608
324	0.2541260271
325	0.2540046651
326	0.2539245909
327	0.2538381264
328	0.2537900469
329	0.2536743763
330	0.2536369719
331	0.253563522
332	0.2533798416
333	0.2532663921
334	0.2531937611
335	0.2530734037
336	0.2529775233
337	0.2529381611
338	0.2528314665
339	0.2527725333
340	0.2526955637
341	0.2526607102
342	0.2526002973
343	0.2525193091
344	0.2524656234
345	0.2524083747
346	0.2523711343
347	0.2522726501
348	0.2522137563
349	0.2521741045
350	0.2521127403
351	0.2519343726
352	0.2518903907
353	0.251751648
354	0.2516346908
355	0.2515794542
356	0.2513861891
357	0.2513031497
358	0.2511867823
359	0.251078838
360	0.2510657867
361	0.2510180782
362	0.2509628195
363	0.2508508984
364	0.2507667867
365	0.2507264424
366	0.2506432704
367	0.2505964611
368	0.2504998504
369	0.2504169998
370	0.2503952515
371	0.2503408168
372	0.2501704229
373	0.2500905707
374	0.2499958094
375	0.2498861748
376	0.2498616466
377	0.2498191489
378	0.249722064
379	0.2495754174
380	0.2495273867
381	0.2494603549
382	0.2494075846
383	0.2493635725
384	0.2492997488
385	0.2492138719
386	0.2490537144
387	0.2489831006
388	0.2489504487
389	0.2488651561
390	0.2488109073
391	0.248731982
392	0.2486725592
393	0.2486109089
394	0.2485550655
395	0.248505336
396	0.2484686913
397	0.248363025
398	0.2482100969
399	0.2481575815
400	0.2480350236
401	0.2480026123
402	0.2479728887
403	0.2479261074
404	0.2478560108
405	0.2477975609
406	0.2476468186
407	0.2474864683
408	0.2474460963
409	0.2473684978
410	0.247235762
411	0.2471961144
412	0.2471541932
413	0.247138352
414	0.2470224981
415	0.2469237674
416	0.2468931023
417	0.2467759034
418	0.24674199
419	0.2467135084
420	0.2466605435
421	0.246599829
422	0.2464760444
423	0.2463708251
424	0.2463475079
425	0.2463027161
426	0.2461659874
427	0.2460177909
428	0.2458662492
429	0.2457533335
430	0.2456645728
431	0.2455994025
432	0.2454839454
433	0.2453435367
434	0.2452804297
435	0.2452116787
436	0.2451352165
437	0.2449849448
438	0.244921755
439	0.2448930112
440	0.2448298131
441	0.2447388667
442	0.2447185419
443	0.2446623285
444	0.2445949847
445	0.2445287693
446	0.244413599
447	0.2443051545
448	0.2442913351
449	0.2441829345
450	0.2440492032
451	0.2439566243
452	0.2438925308
453	0.2438026138
